Name,URL,Lat,Lon,Type
Aberystwyth Caving Club,https://www.abercavers.co.uk/,52.41566,-4.06649,Club
AditNow Mining History Society,https://www.aditnow.co.uk/,,,
Antares Caving Club,,,,
Avon Scouts Caving Team,https://www.avonscouts.org.uk/activity-adventure/land/caving/,51.56336,-2.55985,Scouts
Axbridge Caving Group,http://axbridgecavinggroup.wikidot.com/,51.24746,-2.64612,Meet
Birmingham Students Caving Club,https://www.facebook.com/Birmingham-Students-Caving-Club-110462737156136/,52.44908,-1.9279,Club
Black Rose Caving Club,http://www.brcc.org.uk/,,,
Borwick Hall Caving Club,https://www.lancashire.gov.uk/outdooreducation/our-centres/borwick-hall/,54.14935,-2.73294,Centre
Bracknell & District Caving Club,http://www.bdcc.co.uk/,51.43954,-0.78530,Meet
Bradford Pothole Club,http://www.bpc-cave.org.uk/,54.14465,-2.28164,Hut
Brighton Explorers Club,https://www.brightonexplorers.org/,50.82088,-0.14693,Meet
Bristol and District Caving Club,http://www.bristolunderground.com/,51.45000, -2.58333,Area
Bristol Exploration Club,https://bec-cave.org.uk/,51.25171, -2.65744,Hut
Brynmawr Caving Club,http://www.brynmawrcavingclub.org.uk/,51.79844,-3.17378,Meet
Buckfastleigh Caving Group,,50.48001,-3.79132,Area
Burnley Caving Club,http://burnleycavingclub.apphb.com/,53.79391,-2.24807,Meet
Buttered Badger Potholing Club,http://www.butteredbadger.com/,,,
Cadley Hill Caving Club,,,,
Cambridge Caving and Climbing Club,http://thecccc.org.uk/,52.20492,0.13009,Meet
Cambridge University Caving Club,https://caving.soc.srcf.net/,52.20522,0.12868,Meet
Carbis Bay Crew,http://www.carbisbaycrew.co.uk/,50.19659,-5.46505,Area
Cardiff University Caving & Canyoning Club,https://www.cardiffstudents.com/activities/sport/caving/,51.48841,-3.17746,Meet
Cave and Crag Club,http://www.caveandcrag.co.uk/,52.48931,-1.89675,Meet
Cerberus Spelaeological Society,http://www.cerberusspeleo.org.uk/,51.22292,-2.50185,Hut
Cheddar Caving Club,https://cheddar-caving-club.org.uk/,51.28129,-2.77204,Meet
Chelsea Spelaeological Society,http://www.chelseaspelaeo.org/,51.83444,-3.15556,Hut
Chesterfield Caving Club,https://chesterfieldcavingclub.co.uk/,53.23446,-1.36120,Meet
Cleveland Mining Heritage Society,http://cmhs.org.uk/,54.43548,-0.72498,Meet
CNCC Technical Group,https://cncc.org.uk/fixed-aids/technical-group.php,,,
Combined Services Caving Club,https://militarycaving.weebly.com/,,,
Condurrow Mine Group,,50.20675,-5.27982,Area
Cornwall Mine Explorers Club,,50.40000,-4.90000,Area
Craven Pothole Club,https://www.cravenpotholeclub.org/,54.14926,-2.29589,Hut
Crewe Climbing and Potholing Club,https://ccpc.org.uk,53.10192,-2.25140,Meet
Croydon Caving Club,http://croydoncavingclub.org.uk/,51.80291,-3.56012,Hut
Cumbria Amentity Trust Mining History Society,http://www.catmhs.org.uk/,54.50000,-3.25000,Area
Cwmbran Caving Club,https://www.facebook.com/ogofccc/,51.69105,-3.01057,Meet
Darkside Caving & Mining Club,https://www.peakinstruction.com/blog/darkside-caving-mining-club,,,
Derby Underground Darkspace Exploration Society,,52.916667,-1.466667,Area
Derbyshire Caving Club,https://www.derbyscc.org.uk/,53.30520,-2.22860,Meet
Derbyshire Pennine Club,http://www.thedpc.co.uk/,53.27554,-1.65468,Hut
Derbyshire Scout Caving Team,https://www.derbyshirescouts.org/activities/caving,52.97198,-1.45698,Scouts
Devon Spelaeological Society,http://www.devonss.org.uk/,50.48118,-3.78310,Hut
Dudley Caving Club,http://www.dudleycavingclub.org.uk/,52.52950,-2.12176,Meet
Durand Group,http://www.durandgroup.org.uk/,,,
Durham Cave and Mine Club,http://durham-cmc.co.uk/,54.77610,-1.57330,Area
Durham University Speleological Association,http://community.dur.ac.uk/speleological.association/,54.77246,-1.57086,Meet
Earby Mines Research Group,http://projects.exeter.ac.uk/mhn/new/EMRG.html,53.91840,-2.14415,Club
Earby Pothole Club,http://earbypotholeclub.co.uk/,54.11759,-2.39133,Meet
Education in the Environment Caving Club,,,,
Eldon Pothole Club,http://www.eldonpotholeclub.org.uk/,53.28275,-1.76108,Meet
Elysium Underground Group,,,,
Exeter University Speleological Society,https://exeterspeleology.wordpress.com/,50.73542,-3.53450,Club
Frome Caving Group,http://fromecavinggroup.co.uk/,51.24746,-2.64612,Meet
Gagendor Caving Club,https://www.facebook.com/gagendor/,,,
Gibraltar Museum Caving Unit,https://www.gibmuseum.gi/our-work/caving-unit,,,
Glasgow University Potholing Association,https://www.gla.ac.uk/myglasgow/sport/whatson/club/potholing/,55.85164,-4.28127,Meet
Gloucester Speleological Society,https://www.gloucester-speleo.org/,51.86444,-2.24444,Area
Gloucestershire Bat Group Underground Section,https://glosbats.org.uk/,51.77366,-2.29092,Meet
Good Luck Mine Preservation Club,http://www.goodluckmine.org.uk/,53.10502,-1.59966,Meet
Gosport Speleological Club,,50.79478,-1.12432,Area
Grampian Speleological Group,http://www.gsg.org.uk/,58.05323,-5.03067,Hut
Great Orme Exploration Society,http://www.goes.org.uk/,53.3322,-3.85301,Area
Greater London South Caving Club,,51.45000,-0.10000,Area
Greenhow Local History Club,https://greenhow-hill.org.uk/history-2/greenhow-local-history-club/,54.07271,-1.83033,Club
